Categoria,Quantidade,IDs
Carga PGM,341,"15653, 15738, 16722, 16742, 17407, 17409, 17417, 17520, 17654, 17922, 17962, 18480, 18562, 18912, 19350, 19352, 19358, 19373, 19461, 19801, 20067, 20303, 20335, 20500, 20790, 20849, 20927, 20962, 21190, 21299, 21410, 21914, 22304, 23053, 23155, 23541, 23568, 23619, 23745, 23788, 23830, 23910, 23911, 24081, 24175, 24249, 24360, 24511, 24517, 24658, 24659, 24959, 25102, 25179, 25186, 25214, 25260, 25448, 25794, 25799, 25873, 25885, 25934, 26019, 26270, 26367, 26401, 26601, 26722, 26780, 27077, 27098, 27166, 27219, 27575, 27744, 27752, 27871, 28171, 28436, 28475, 28485, 28537, 28596, 28648, 28847, 28891, 28892, 28908, 28914, 28939, 29290, 29459, 29474, 29531, 29540, 29542, 29637, 29674, 29724, 29731, 29787, 29930, 30212, 30678, 30819, 30834, 30841, 30845, 31385, 31438, 31445, 31898, 31944, 31954, 32051, 32189, 32305, 32338, 32513, 32535, 32585, 33102, 33154, 33263, 33269, 33327, 33378, 33395, 33530, 33628, 33760, 34139, 34349, 34352, 34438, 34480, 34481, 34482, 34483, 34490, 34912, 34914, 35044, 35045, 35132, 35260, 35370, 35575, 35804, 35986, 35990, 36206, 36207, 36306, 36445, 36446, 36608, 36647, 36648, 36874, 36935, 37084, 37222, 37228, 37391, 37692, 37725, 37732, 37783, 37786, 37862, 37889, 38008, 38033, 38147, 38148, 38214, 38215, 38373, 38378, 38597, 38692, 38790, 38881, 38983, 38986, 39156, 39275, 39277, 39406, 39632, 39634, 39635, 39923, 39924, 39949, 40029, 40060, 40168, 40391, 40392, 40459, 40460, 40542, 40567, 40583, 40615, 40629, 40631, 40672, 40673, 40847, 40964, 41008, 41009, 41013, 41052, 41179, 41240, 41369, 41443, 41486, 41580, 41598, 41684, 41699, 41762, 41764, 41773, 41782, 41845, 41889, 41906, 42090, 42092, 42093, 42094, 42105, 42106, 42115, 42116, 42117, 42118, 42120, 42121, 42125, 42146, 42147, 42148, 42149, 42169, 42254, 42298, 42311, 42315, 42316, 42317, 42318, 42319, 42320, 42321, 42322, 42323, 42324, 42325, 42326, 42491, 42512, 42513, 42515, 42540, 42545, 42576, 42578, 42579, 42580, 42658, 42707, 43013, 43198, 43199, 43227, 43397, 43412, 43864, 44106, 44217, 44279, 44347, 44422, 44526, 44527, 44646, 44678, 44708, 44804, 44806, 44959, 44961, 44975, 45006, 45034, 45155, 45213, 45222, 45229, 45234, 45322, 45417, 45471, 45651, 46288, 46289, 46382, 46395, 46583, 46819, 46995, 47005, 47239, 47243, 47378, 47474, 47622, 47648, 47717, 47730, 47732, 49124, 50519, 50538, 50544, 50561, 50821, 50982, 51116, 51120, 51210, 51228, 51251"
Correção de Cadastro,338,"15968, 16433, 16547, 16951, 17311, 17332, 17453, 17491, 17492, 17667, 17824, 17940, 17960, 17982, 18564, 19551, 19570, 19584, 19586, 19588, 19590, 19591, 19594, 19597, 19604, 19608, 19619, 19621, 19651, 19660, 19664, 19671, 19704, 19760, 19809, 19813, 19865, 19885, 19937, 19956, 19975, 20250, 20460, 20499, 20501, 20597, 20650, 20712, 20720, 21031, 21083, 21086, 21088, 21137, 21314, 21579, 21659, 21681, 21832, 21857, 22079, 22157, 22364, 22369, 22509, 22537, 22556, 22627, 22632, 22633, 22638, 22642, 22648, 22649, 22862, 23138, 23248, 23371, 23408, 23419, 23472, 23558, 23559, 23617, 23899, 23907, 23916, 24012, 24013, 24145, 24148, 24155, 24194, 24826, 24854, 25206, 25212, 25414, 25661, 25779, 25849, 26004, 26059, 26205, 26852, 27369, 27381, 27418, 27428, 27640, 27641, 28083, 28139, 28472, 28565, 28825, 29023, 29047, 29273, 29274, 29437, 29438, 29554, 30213, 30490, 30491, 30494, 30507, 30669, 30687, 30806, 31141, 31348, 31364, 31657, 31668, 31669, 31670, 31671, 31721, 31778, 32543, 32680, 32786, 32841, 32943, 32994, 33012, 33678, 34079, 34215, 34269, 34785, 34960, 35064, 35162, 35185, 35208, 35377, 35435, 35478, 35482, 35485, 35486, 35547, 35548, 35590, 35637, 35788, 35825, 35839, 36006, 36077, 36148, 36391, 36475, 36495, 36548, 36868, 36995, 37094, 37329, 37485, 37494, 37536, 37538, 37541, 37542, 37543, 37546, 37592, 37947, 37969, 37997, 38030, 38064, 38259, 38596, 38766, 38815, 39081, 39385, 39399, 39429, 39637, 39764, 39765, 39770, 39967, 40039, 40045, 40203, 40303, 40343, 40386, 40515, 40608, 40640, 40686, 41495, 41539, 41614, 41615, 41619, 41775, 41947, 41987, 42114, 42150, 42152, 42309, 42310, 42327, 42636, 42638, 42693, 42987, 43020, 43524, 43525, 43526, 43827, 43833, 44710, 45095, 45096, 45097, 45131, 45184, 45211, 45340, 45341, 45345, 45349, 45476, 45526, 45695, 45696, 45697, 45738, 45742, 45762, 45769, 45774, 45775, 45776, 45778, 45779, 45781, 45845, 45847, 45862, 45979, 46178, 46220, 46310, 46454, 46455, 46456, 46488, 46521, 46563, 46610, 46612, 46710, 46735, 46739, 46963, 46967, 47235, 47249, 47268, 47320, 47452, 47527, 47528, 47530, 47589, 47651, 47652, 47680, 47802, 47820, 48090, 48091, 48126, 48307, 48440, 48441, 48489, 48490, 48494, 48499, 48502, 48727, 48799, 49636, 49697, 49766, 49850, 49871, 49876, 49923, 49990, 50153, 50188, 50205, 50436, 50582, 50586, 50590, 50710, 50715, 50845, 50877, 50895, 50896, 51222"
Ajuste de perfil,205,"15789, 16205, 16476, 16491, 16600, 16659, 17328, 17613, 17805, 18291, 18961, 18979, 19158, 19214, 19269, 19444, 19575, 19580, 19585, 19593, 19623, 19806, 20042, 20424, 20667, 20940, 21244, 21246, 21601, 22030, 22046, 22086, 22198, 22227, 22241, 22264, 22351, 22548, 22647, 22885, 22892, 22916, 22989, 23003, 23079, 23100, 23152, 23291, 23307, 23606, 23701, 23718, 23719, 23896, 23904, 24038, 24121, 24127, 24146, 24232, 24388, 24551, 24663, 24878, 24902, 24904, 24912, 25050, 25150, 25288, 25463, 25546, 25638, 25774, 26259, 26298, 26393, 26425, 26439, 26499, 26539, 26553, 26611, 26622, 26836, 27018, 27133, 27585, 28162, 28316, 28467, 28983, 29065, 29153, 29194, 29362, 29752, 29753, 29756, 30515, 30838, 30871, 31135, 31363, 31699, 31727, 31776, 31841, 32789, 33312, 33355, 33482, 33680, 34280, 34467, 34493, 34930, 34939, 35002, 35245, 35502, 35585, 35657, 35727, 36396, 36649, 36706, 36738, 37040, 37041, 37042, 37043, 37044, 37049, 37079, 37082, 37206, 37480, 37490, 37803, 38050, 38060, 38164, 38489, 38567, 38603, 38605, 38727, 38844, 38855, 39066, 39202, 39274, 39328, 39685, 39846, 40001, 40041, 40243, 40708, 41235, 41570, 42161, 42495, 42730, 42762, 42846, 43588, 43589, 43605, 43717, 43801, 43804, 44585, 44958, 45022, 45023, 45624, 45831, 46138, 46417, 46701, 47313, 47572, 47592, 47607, 47650, 47682, 47940, 48000, 48270, 48279, 48302, 48398, 48935, 48943, 49150, 49214, 49566, 49723, 49958, 50751, 50867, 51118, 51225"
Sincronismo Nomad,180,"15655, 15802, 15810, 15987, 16482, 16483, 16517, 16712, 16717, 16783, 16919, 16973, 17015, 17016, 17064, 17069, 17116, 17125, 17742, 17939, 18683, 18689, 18754, 18760, 18828, 19245, 19396, 19464, 19611, 19612, 19617, 19620, 19693, 19694, 19707, 19710, 19727, 19729, 19733, 19758, 19794, 19857, 19861, 19863, 19870, 19871, 19874, 19886, 19898, 19939, 19953, 19955, 20007, 20062, 20082, 20088, 20096, 20124, 20217, 20256, 20442, 20566, 20574, 20575, 21248, 21273, 21525, 21618, 21833, 21921, 21978, 22002, 22013, 22035, 22055, 22063, 22129, 22130, 22148, 22219, 22224, 22237, 22274, 22349, 22363, 22437, 22515, 22545, 22555, 22590, 22644, 22655, 22708, 22752, 22793, 23032, 23049, 23133, 23139, 23140, 23195, 23217, 23376, 23459, 23681, 23755, 23756, 23758, 23759, 23760, 23762, 23764, 23768, 23781, 23785, 23798, 23802, 23871, 23935, 23936, 23976, 24184, 24231, 24374, 24393, 24456, 24470, 24514, 24515, 24528, 24628, 24708, 24745, 24770, 24933, 24935, 24936, 24938, 25145, 25226, 25435, 25630, 25840, 26683, 26885, 26940, 26942, 27362, 27436, 27482, 27483, 27628, 27757, 28036, 28150, 28826, 28965, 28990, 29226, 29350, 31425, 32746, 33942, 35636, 35814, 36080, 38271, 38407, 38506, 40133, 41566, 41577, 41662, 41750, 41904, 44130, 46121, 46418, 47626, 48001"
Checkagem de recursos da aplicação,157,"21901, 21925, 22206, 22210, 20113, 21443, 21610, 37850, 47815, 51136, 51138, 16126, 16487, 16512, 16513, 20116, 17745, 18707, 18716, 18718, 21453, 21456, 18723, 21485, 18880, 18881, 19405, 19432, 19436, 20117, 21425, 21446, 21603, 21482, 21520, 21524, 21641, 21539, 21728, 21548, 21783, 21786, 21568, 21581, 21592, 21596, 21606, 21607, 21678, 21836, 21762, 21791, 21801, 21806, 21811, 21813, 21826, 21829, 21900, 21931, 21935, 22153, 22159, 22161, 22162, 22221, 22386, 22497, 22560, 22568, 25893, 22795, 22888, 23188, 27992, 25733, 26122, 27364, 27801, 28075, 28107, 28499, 28863, 28229, 28235, 28328, 28363, 28881, 29106, 29836, 30141, 30453, 30983, 33744, 33747, 34456, 34816, 34945, 35321, 35924, 35396, 35477, 35483, 36133, 35800, 35947, 36128, 36129, 36136, 36137, 36139, 36141, 36142, 36147, 36156, 36158, 36240, 36182, 36183, 36184, 36189, 37846, 38901, 37847, 38874, 38896, 41044, 41084, 39465, 41136, 41248, 39827, 40792, 41115, 41377, 41668, 43748, 45958, 46012, 46039, 46043, 46316, 46542, 46544, 46670, 46546, 46547, 46615, 47053, 47135, 47139, 47323, 47824, 49236, 48442, 48538, 50352"
Orientação - Instrução ao usuário de como utilizar o módulo,151,"15890, 15969, 16022, 16503, 16566, 16569, 16631, 17106, 17293, 17430, 17482, 17537, 17564, 17581, 17686, 17944, 18066, 19167, 19571, 19573, 19574, 19576, 19577, 19595, 19601, 19628, 19944, 20005, 20041, 20143, 20211, 20253, 20461, 20738, 21143, 21225, 21512, 21869, 22263, 22319, 22371, 22385, 22401, 22507, 22508, 22634, 22694, 22696, 22701, 22707, 22733, 22749, 22805, 23314, 23438, 23502, 23524, 23809, 23873, 23940, 24412, 24664, 24965, 24972, 25008, 25356, 25386, 25430, 25535, 25609, 25617, 25786, 25967, 26092, 26100, 27382, 27713, 27721, 27724, 27944, 28151, 28155, 28170, 28346, 28561, 28875, 29026, 29060, 29127, 29838, 30300, 31020, 31431, 31521, 32953, 34344, 34367, 34809, 35223, 35563, 35662, 35666, 36637, 37499, 37655, 37814, 37866, 37994, 38233, 38270, 38370, 38409, 38410, 38832, 38834, 39426, 40405, 40411, 40532, 41108, 41129, 41157, 41461, 41783, 42451, 43019, 43160, 43527, 43786, 43910, 44675, 45188, 45475, 45753, 45777, 45799, 46173, 46245, 46621, 46638, 46671, 46968, 48069, 49230, 49314, 49459, 49556, 49783, 50362, 51000, 51132"
Orientação - Usuario Orientado como usar o modulo,130,"19680, 20094, 20459, 20549, 20896, 21267, 21386, 21504, 21505, 21621, 21643, 22402, 22691, 22712, 22747, 22841, 22910, 23247, 23360, 23818, 23845, 24592, 24974, 25046, 25109, 25296, 25760, 26093, 26189, 26446, 26913, 27363, 28390, 28514, 28805, 28968, 28971, 29227, 29486, 30022, 30236, 30831, 31147, 31198, 31674, 31906, 32098, 32292, 32512, 32788, 32955, 33125, 33612, 34058, 34136, 34329, 35246, 35542, 35706, 36399, 36401, 36509, 36537, 36553, 36604, 36626, 36751, 36775, 37059, 37285, 37450, 37496, 37587, 37590, 37628, 37685, 37747, 37930, 38000, 38011, 38096, 38939, 39775, 40087, 40160, 40215, 40356, 40471, 40661, 40751, 40771, 41014, 41072, 41076, 41118, 41258, 41543, 41908, 42174, 42736, 43113, 43335, 43536, 44181, 44355, 44411, 44507, 44812, 44894, 45218, 45230, 45231, 45335, 45336, 45792, 45891, 46325, 46508, 46879, 47168, 47182, 47284, 47795, 48110, 49333, 49346, 49424, 49797, 51135, 51192"
Carga Massiva,122,"15977, 16056, 16313, 16331, 16508, 16754, 17165, 20561, 20626, 20969, 21179, 21296, 21491, 21638, 21720, 21721, 22139, 22323, 22335, 22729, 22732, 22761, 22935, 22954, 23431, 23555, 23691, 24036, 24077, 24281, 24726, 26070, 26260, 26644, 27025, 27062, 27586, 28087, 28837, 29215, 29852, 30411, 31012, 32976, 33118, 33477, 33904, 34226, 34265, 34313, 34315, 35285, 35355, 35507, 35508, 35661, 35664, 35665, 35912, 36062, 36082, 36085, 36180, 36449, 36450, 36463, 36582, 36686, 36872, 37090, 37095, 37119, 37120, 37261, 37724, 38296, 38337, 38617, 38642, 38912, 38988, 38991, 39000, 39199, 39210, 39271, 39298, 39855, 40038, 40560, 40848, 40945, 41019, 41315, 41973, 42186, 42331, 42350, 43641, 43839, 43936, 44977, 45337, 45490, 45719, 45838, 45844, 45995, 46232, 46294, 46490, 47128, 47344, 48382, 48385, 48759, 48882, 48914, 49323, 49610, 49837, 50607"
Ajuste de Tela,98,"15962, 16249, 17693, 18448, 19572, 19582, 19583, 19669, 20221, 20331, 21174, 21933, 22270, 22346, 22635, 22718, 22894, 22976, 23077, 23238, 23239, 23275, 23384, 23437, 23489, 23490, 23672, 23676, 23994, 24011, 24122, 24218, 24321, 24884, 24927, 24932, 25220, 25515, 25876, 26161, 26534, 26543, 26893, 27215, 27442, 28767, 29532, 30066, 31304, 31820, 31853, 32520, 33555, 33801, 35335, 35853, 35935, 35991, 36590, 37199, 38272, 38709, 39883, 39999, 40000, 40440, 40445, 40449, 40710, 41073, 44402, 45246, 45247, 45294, 45502, 45535, 45693, 45714, 45733, 45736, 45780, 45796, 45865, 45868, 45869, 45878, 45884, 46259, 47149, 47661, 47667, 47693, 47751, 48261, 48598, 48895, 49199, 49312"
Falha de acesso,93,"16130, 16323, 16941, 18720, 19386, 19587, 20115, 21056, 21117, 21447, 21461, 21473, 21474, 21598, 21609, 21654, 21680, 21682, 21825, 22163, 22563, 22569, 23136, 23338, 24173, 24195, 24445, 26190, 29017, 29523, 30192, 31449, 31450, 31645, 31649, 31660, 31684, 31687, 31690, 31737, 31800, 32186, 32600, 33403, 33505, 33572, 33753, 33823, 34503, 34820, 34829, 34893, 34903, 34906, 35039, 35318, 35462, 35536, 35747, 35798, 36130, 36132, 36134, 36135, 36138, 36144, 36168, 36188, 36224, 37539, 38876, 41354, 41441, 42597, 42637, 45000, 45159, 45273, 45300, 45449, 45709, 45880, 45906, 46523, 46541, 46734, 47237, 47321, 48175, 48444, 48536, 49275, 50379"
