Categoria,ID
Carga PGM,15653
Sincronismo Nomad,15655
Falta de retorno do usuário,15702
Carga PGM,15738
Ajuste de perfil,15789
Sincronismo Nomad,15802
Sincronismo Nomad,15810
Falta de retorno do usuário,15812
Falta de retorno do usuário,15885
Orientação - Instrução ao usuário de como utilizar o módulo,15890
Ajuste de Tela,15962
Correção de Cadastro,15968
Orientação - Instrução ao usuário de como utilizar o módulo,15969
Carga Massiva,15977
Sincronismo Nomad,15987
Orientação - Instrução ao usuário de como utilizar o módulo,16022
Carga Massiva,16056
Checkagem de recursos da aplicação,21901
Falha de acesso,16130
Criação de Acesso,16167
Ajuste de perfil,16205
Criação de Acesso,16209
Ajuste de credenciais de integração com SAM,16220
Ajuste de Filtro - Padrão Grupo Predefinido,16234
Ajuste de Tela,16249
Carga Massiva,16313
Falha de acesso,16323
Carga Massiva,16331
Ajuste de credenciais de integração com SAM,16333
Correção de Cadastro,16433
Ajuste de perfil,16476
Sincronismo Nomad,16482
Sincronismo Nomad,16483
Checkagem de recursos da aplicação,21925
Ajuste de perfil,16491
Orientação - Instrução ao usuário de como utilizar o módulo,16503
Carga Massiva,16508
Checkagem de recursos da aplicação,22206
Checkagem de recursos da aplicação,22210
Sincronismo Nomad,16517
Correção de Cadastro,16547
Orientação - Instrução ao usuário de como utilizar o módulo,16566
Orientação - Instrução ao usuário de como utilizar o módulo,16569
Instrução para realizar login,16570
Ajuste de perfil,16600
Orientação - Instrução ao usuário de como utilizar o módulo,16631
Ajuste de perfil,16659
Sincronismo Nomad,16712
Sincronismo Nomad,16717
Carga PGM,16722
Carga PGM,16742
Carga Massiva,16754
Sincronismo Nomad,16783
Sincronismo Nomad,16919
Criação de Acesso,16940
Falha de acesso,16941
Correção de Cadastro,16951
Sincronismo Nomad,16973
Sincronismo Nomad,17015
Sincronismo Nomad,17016
Sincronismo Nomad,17064
Sincronismo Nomad,17069
Orientação - Instrução ao usuário de como utilizar o módulo,17106
Sincronismo Nomad,17116
Sincronismo Nomad,17125
Carga Massiva,17165
Usuário Orientado a Abrir IT Demand,17283
Orientação - Instrução ao usuário de como utilizar o módulo,17293
Usuário Orientado a Abrir IT Demand,17306
Correção de Cadastro,17311
Ajuste de perfil,17328
Correção de Cadastro,17332
Carga PGM,17407
Carga PGM,17409
Carga PGM,17417
Orientação - Instrução ao usuário de como utilizar o módulo,17430
Correção de Cadastro,17453
Orientação - Instrução ao usuário de como utilizar o módulo,17482
Correção de Cadastro,17491
Correção de Cadastro,17492
Escalado para o Fornecedor,17496
Carga PGM,17520
Escalado para Infra,17529
Orientação - Instrução ao usuário de como utilizar o módulo,17537
Ajuste de Filtro - Padrão Grupo Predefinido,17551
Orientação - Instrução ao usuário de como utilizar o módulo,17564
Orientação - Instrução ao usuário de como utilizar o módulo,17581
Extração de dados,17582
Ajuste de perfil,17613
Carga PGM,17654
Correção de Cadastro,17667
Orientação - Instrução ao usuário de como utilizar o módulo,17686
Ajuste de Tela,17693
Sincronismo Nomad,17742
Checkagem de recursos da aplicação,20113
Falta de retorno do usuário,17758
Ajuste de perfil,17805
Falta de retorno do usuário,17806
Criação de Acesso,17812
Criação de Acesso,17814
Correção de Cadastro,17824
Carga PGM,17922
Sincronismo Nomad,17939
Correção de Cadastro,17940
Orientação - Instrução ao usuário de como utilizar o módulo,17944
Correção de Cadastro,17960
Carga PGM,17962
Correção de Cadastro,17982
Orientação - Instrução ao usuário de como utilizar o módulo,18066
Ajuste de perfil,18291
Ajuste de Tela,18448
Carga PGM,18480
Ajuste de parâmetro do sistema,18482
Carga PGM,18562
Correção de Cadastro,18564
Sincronismo Nomad,18683
Sincronismo Nomad,18689
Checkagem de recursos da aplicação,21443
Checkagem de recursos da aplicação,21610
Checkagem de recursos da aplicação,37850
Falha de acesso,18720
Checkagem de recursos da aplicação,47815
Sincronismo Nomad,18754
Sincronismo Nomad,18760
Sincronismo Nomad,18828
Checkagem de recursos da aplicação,51136
Checkagem de recursos da aplicação,51138
Carga PGM,18912
Ajuste de perfil,18961
Ajuste de perfil,18979
Ajuste de perfil,19158
Escalado para o Fornecedor,19162
Orientação - Instrução ao usuário de como utilizar o módulo,19167
Ajuste de perfil,19214
Sincronismo Nomad,19245
Ajuste de perfil,19269
Carga PGM,19350
Carga PGM,19352
Carga PGM,19358
Carga PGM,19373
Falha de acesso,19386
Sincronismo Nomad,19396
Checkagem de recursos da aplicação,16126
Checkagem de recursos da aplicação,16487
Checkagem de recursos da aplicação,16512
Ajuste de perfil,19444
Carga PGM,19461
Sincronismo Nomad,19464
Ajuste de Filtro - Padrão Grupo Predefinido,19516
Correção de Cadastro,19551
Reinicio de serviço de relatório,19566
Reinicio de serviço de relatório,19567
Reinicio de serviço de relatório,19568
Reinicio de serviço de relatório,19569
Correção de Cadastro,19570
Orientação - Instrução ao usuário de como utilizar o módulo,19571
Ajuste de Tela,19572
Orientação - Instrução ao usuário de como utilizar o módulo,19573
Orientação - Instrução ao usuário de como utilizar o módulo,19574
Ajuste de perfil,19575
Orientação - Instrução ao usuário de como utilizar o módulo,19576
Orientação - Instrução ao usuário de como utilizar o módulo,19577
Limpeza de Cache,19579
Ajuste de perfil,19580
Time Out,19581
Ajuste de Tela,19582
Ajuste de Tela,19583
Correção de Cadastro,19584
Ajuste de perfil,19585
Correção de Cadastro,19586
Falha de acesso,19587
Correção de Cadastro,19588
Correção de Cadastro,19590
Correção de Cadastro,19591
Ajuste de perfil,19593
Correção de Cadastro,19594
Orientação - Instrução ao usuário de como utilizar o módulo,19595
Chamado aberto indevidamente,19596
Correção de Cadastro,19597
Orientação - Instrução ao usuário de como utilizar o módulo,19601
Reinicio de serviço de relatório,19603
Correção de Cadastro,19604
Correção de Cadastro,19608
Sincronismo Nomad,19611
Sincronismo Nomad,19612
Sincronismo Nomad,19617
Correção de Cadastro,19619
Sincronismo Nomad,19620
Correção de Cadastro,19621
Ajuste de perfil,19623
Orientação - Instrução ao usuário de como utilizar o módulo,19628
Correção de Cadastro,19651
Correção de Cadastro,19660
Correção de Cadastro,19664
Ajuste de Tela,19669
Correção de Cadastro,19671
Chamado aberto indevidamente,19673
Associar Relatorios ao grupo de acesso,19674
Orientação - Usuario Orientado como usar o modulo,19680
Sincronismo Nomad,19693
Sincronismo Nomad,19694
Ajuste de Relatorio,19698
Correção de Cadastro,19704
Sincronismo Nomad,19707
Sincronismo Nomad,19710
Sincronismo Nomad,19727
Sincronismo Nomad,19729
Sincronismo Nomad,19733
Sincronismo Nomad,19758
Correção de Cadastro,19760
Sincronismo Nomad,19794
Carga PGM,19801
Ajuste de perfil,19806
Correção de Cadastro,19809
Correção de Cadastro,19813
Sincronismo Nomad,19857
Sincronismo Nomad,19861
Sincronismo Nomad,19863
Correção de Cadastro,19865
Sincronismo Nomad,19870
Sincronismo Nomad,19871
Sincronismo Nomad,19874
Correção de Cadastro,19885
Sincronismo Nomad,19886
Ajuste de parâmetro do sistema,19896
Sincronismo Nomad,19898
Correção de Cadastro,19937
Sincronismo Nomad,19939
Orientação - Instrução ao usuário de como utilizar o módulo,19944
Sincronismo Nomad,19953
Sincronismo Nomad,19955
Correção de Cadastro,19956
Correção de Cadastro,19975
Extração de dados,19993
Orientação - Instrução ao usuário de como utilizar o módulo,20005
Sincronismo Nomad,20007
Orientação - Mudança de Status OS/SS/Equipamento,20008
Orientação - Instrução ao usuário de como utilizar o módulo,20041
Ajuste de perfil,20042
Sincronismo Nomad,20062
Carga PGM,20067
Sincronismo Nomad,20082
Sincronismo Nomad,20088
Ajuste de Workflow,20089
Associar Relatorios ao grupo de acesso,20091
Orientação - Usuario Orientado como usar o modulo,20094
Sincronismo Nomad,20096
Checkagem de recursos da aplicação,16513
Falha de acesso,20115
Checkagem de recursos da aplicação,20116
Checkagem de recursos da aplicação,17745
Sincronismo Nomad,20124
Falta de retorno do usuário,20125
Chamado aberto indevidamente,20127
Orientação - Instrução ao usuário de como utilizar o módulo,20143
Orientação - Instrução ao usuário de como utilizar o módulo,20211
Sincronismo Nomad,20217
Ajuste de Tela,20221
Correção de Cadastro,20250
Orientação - Instrução ao usuário de como utilizar o módulo,20253
Sincronismo Nomad,20256
Reinicio de serviço de relatório,20278
Carga PGM,20303
Ajuste de Tela,20331
Carga PGM,20335
Ajuste de perfil,20424
Restaurar backup para recuperação de arquivo,20436
Sincronismo Nomad,20442
Usuário Orientado a Abrir IT Demand,20458
Orientação - Usuario Orientado como usar o modulo,20459
Correção de Cadastro,20460
Orientação - Instrução ao usuário de como utilizar o módulo,20461
Correção de Cadastro,20499
Carga PGM,20500
Correção de Cadastro,20501
Orientação - Usuario Orientado como usar o modulo,20549
Carga Massiva,20561
Sincronismo Nomad,20566
Escalado para o Fornecedor,20572
Sincronismo Nomad,20574
Sincronismo Nomad,20575
Escalado para Infra,20595
